2026/03/17 11:00:50 no config path specified; using /var/lib/derper/derper.key
2026/03/17 11:00:50 STUN server listening on [::]:3478
2026/03/17 11:00:50 No mesh key configured
2026/03/17 11:00:50 derper: serving on :3340 with TLS
2026/03/17 11:00:54 http: TLS handshake error from 10.50.0.2:57520: unexpected EOF
gc 103 @4.293s 0%: 0.12+0.58+0.078 ms clock, 1.4+0.68/0.88/0+0.94 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 104 @4.295s 0%: 0.12+1.4+0.076 ms clock, 1.5+1.1/0.89/0+0.91 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 105 @4.298s 0%: 0.084+0.52+0.060 ms clock, 1.0+0.83/0.97/0+0.73 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 106 @4.300s 0%: 0.11+0.62+0.11 ms clock, 1.3+0.75/0.76/0+1.3 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 107 @4.302s 0%: 0.062+0.88+0.077 ms clock, 0.74+1.4/0.96/0+0.93 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 108 @4.304s 0%: 0.17+0.95+0.058 ms clock, 2.1+0.52/1.0/0+0.70 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 109 @4.307s 0%: 0.11+0.59+0.095 ms clock, 1.3+0.71/0.86/0+1.1 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 110 @4.309s 0%: 0.085+0.62+0.074 ms clock, 1.0+0.79/0.80/0+0.89 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 111 @4.311s 0%: 0.097+1.1+0.023 ms clock, 1.1+0.66/0.83/0+0.28 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 112 @4.314s 0%: 0.077+0.52+0.10 ms clock, 0.93+0.55/0.94/0+1.3 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 113 @4.316s 0%: 0.13+0.68+0.099 ms clock, 1.6+0.73/0.77/0+1.1 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 114 @4.318s 0%: 0.082+1.1+0.080 ms clock, 0.99+0.95/0.71/0+0.97 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 115 @4.321s 0%: 0.099+0.67+0.081 ms clock, 1.1+0.59/0.91/0+0.97 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
