2026/03/14 22:20:03 no config path specified; using /var/lib/derper/derper.key
2026/03/14 22:20:03 STUN server listening on [::]:3478
2026/03/14 22:20:03 No mesh key configured
2026/03/14 22:20:03 derper: serving on :3340 with TLS
2026/03/14 22:20:07 http: TLS handshake error from 10.10.0.3:37310: unexpected EOF
gc 125 @5.279s 1%: 0.046+1.2+0.020 ms clock, 0.092+0.49/0.64/0+0.041 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 126 @5.290s 1%: 0.015+0.94+0.002 ms clock, 0.030+0.82/0.44/0+0.005 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 127 @5.301s 1%: 0.081+1.0+0.026 ms clock, 0.16+0.72/0.62/0+0.052 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 128 @5.311s 1%: 0.039+1.0+0.004 ms clock, 0.079+0.77/0.54/0+0.009 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 129 @5.322s 1%: 0.048+2.4+0.003 ms clock, 0.097+0.46/0.70/0+0.006 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 130 @5.333s 1%: 0.057+1.0+0.018 ms clock, 0.11+0.63/0.57/0+0.036 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 131 @5.343s 1%: 0.058+2.7+0.012 ms clock, 0.11+0.78/0.50/0+0.024 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 132 @5.353s 1%: 0.047+1.2+0.018 ms clock, 0.094+0.46/0.65/0+0.037 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 133 @5.363s 1%: 0.021+0.98+0.029 ms clock, 0.042+0.81/0.49/0+0.059 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 134 @5.372s 1%: 0.037+0.95+0.020 ms clock, 0.074+0.57/0.64/0+0.041 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
