2026/03/14 08:05:21 Running in dev mode.
2026/03/14 08:05:21 STUN server listening on [::]:3478
2026/03/14 08:05:21 No mesh key specified for dev via TAILSCALE_DERPER_MESH_KEY
2026/03/14 08:05:21 No mesh key configured for --dev mode
2026/03/14 08:05:21 derper: serving on :3340
gc 66 @35.058s 0%: 0.039+0.98+0.008 ms clock, 0.079+0.63/0.58/0+0.017 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 67 @35.077s 0%: 0.041+0.72+0.024 ms clock, 0.082+0.64/0.37/0+0.049 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 68 @35.095s 0%: 0.041+0.72+0.006 ms clock, 0.082+0.62/0.36/0+0.013 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 69 @35.113s 0%: 0.023+0.71+0.017 ms clock, 0.047+0.63/0.40/0+0.034 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 70 @35.131s 0%: 0.029+0.68+0.021 ms clock, 0.058+0.60/0.42/0+0.043 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 71 @35.149s 0%: 0.013+0.72+0.008 ms clock, 0.027+0.74/0.37/0+0.017 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 72 @35.168s 0%: 0.025+0.85+0.027 ms clock, 0.050+0.72/0.43/0+0.054 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 73 @35.185s 0%: 0.038+0.66+0.025 ms clock, 0.077+0.63/0.39/0+0.050 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 74 @35.202s 0%: 0.15+0.61+0.022 ms clock, 0.30+0.59/0.40/0+0.044 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 75 @35.219s 0%: 0.047+0.72+0.003 ms clock, 0.095+0.68/0.44/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 76 @35.236s 0%: 0.020+0.77+0.010 ms clock, 0.040+0.66/0.50/0+0.021 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 77 @35.254s 0%: 0.043+0.67+0.003 ms clock, 0.087+0.70/0.33/0+0.007 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 78 @35.273s 0%: 0.043+0.76+0.017 ms clock, 0.086+0.62/0.39/0+0.034 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 79 @35.291s 0%: 0.054+0.94+0.021 ms clock, 0.10+0.61/0.46/0+0.043 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 80 @35.309s 0%: 0.017+1.1+0.003 ms clock, 0.035+0.73/0.43/0+0.007 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 81 @35.327s 0%: 0.033+0.74+0.005 ms clock, 0.067+0.68/0.41/0+0.010 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 82 @35.346s 0%: 0.021+0.68+0.003 ms clock, 0.042+0.64/0.39/0+0.007 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 83 @35.364s 0%: 0.033+0.73+0.002 ms clock, 0.066+0.71/0.38/0+0.005 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 84 @35.382s 0%: 0.043+0.81+0.003 ms clock, 0.086+0.57/0.43/0+0.007 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 85 @35.400s 0%: 0.018+0.83+0.025 ms clock, 0.036+0.78/0.40/0+0.051 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 86 @35.419s 0%: 0.026+0.77+0.029 ms clock, 0.053+0.71/0.46/0+0.058 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 87 @35.438s 0%: 0.034+0.72+0.002 ms clock, 0.069+0.74/0.38/0+0.005 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 88 @35.456s 0%: 0.019+0.89+0.009 ms clock, 0.038+0.64/0.53/0+0.018 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 89 @35.475s 0%: 0.029+1.1+0.040 ms clock, 0.059+0.73/0.51/0+0.080 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 90 @35.492s 0%: 0.014+0.78+0.008 ms clock, 0.028+0.64/0.40/0+0.016 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 91 @35.510s 0%: 0.056+0.76+0.003 ms clock, 0.11+0.74/0.39/0+0.007 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 92 @35.528s 0%: 0.18+0.57+0.017 ms clock, 0.37+0.54/0.46/0+0.034 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 93 @35.546s 0%: 0.026+0.82+0.014 ms clock, 0.053+0.37/0.24/0+0.028 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 94 @35.564s 0%: 0.025+0.67+0.015 ms clock, 0.051+0.58/0.45/0+0.030 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 95 @35.582s 0%: 0.014+1.1+0.002 ms clock, 0.029+0.39/0.24/0+0.005 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 96 @35.601s 0%: 0.032+0.67+0.020 ms clock, 0.065+0.65/0.37/0+0.041 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 97 @35.619s 0%: 0.68+0.61+0.070 ms clock, 1.3+0.37/0.73/0+0.14 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 98 @35.637s 0%: 0.033+0.73+0.016 ms clock, 0.066+0.66/0.37/0+0.033 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 99 @35.655s 0%: 0.018+0.78+0.012 ms clock, 0.036+0.64/0.37/0+0.025 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 100 @35.673s 0%: 0.028+0.86+0.003 ms clock, 0.057+0.54/0.52/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 101 @35.691s 0%: 0.44+0.55+0.004 ms clock, 0.88+0.40/0.56/0+0.008 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 102 @35.709s 0%: 0.038+0.65+0.014 ms clock, 0.076+0.67/0.32/0+0.029 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 103 @35.728s 0%: 0.027+1.0+0.004 ms clock, 0.054+0.68/0.43/0+0.008 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 104 @35.746s 0%: 0.19+0.70+0.043 ms clock, 0.38+0.54/0.45/0+0.087 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 105 @35.764s 0%: 0.031+1.0+0.031 ms clock, 0.062+0.66/0.54/0+0.063 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 106 @35.782s 0%: 0.010+1.1+0.028 ms clock, 0.021+0.40/1.3/0+0.056 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 107 @35.801s 0%: 0.020+0.71+0.027 ms clock, 0.041+0.57/0.40/0+0.055 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 108 @35.819s 0%: 0.013+0.75+0.025 ms clock, 0.027+0.64/0.37/0+0.051 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 109 @35.837s 0%: 0.014+0.76+0.003 ms clock, 0.028+0.76/0.34/0+0.007 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 110 @35.854s 0%: 0.90+0.41+0.018 ms clock, 1.8+0.40/0.62/0+0.037 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 111 @35.872s 0%: 0.048+1.1+0.006 ms clock, 0.096+0.76/0.36/0+0.012 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 112 @35.890s 0%: 0.98+0.49+0.021 ms clock, 1.9+0.39/0.80/0+0.043 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 113 @35.907s 0%: 0.034+1.0+0.014 ms clock, 0.069+0.46/0.61/0+0.028 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 114 @35.925s 0%: 0.028+1.0+0.003 ms clock, 0.057+0.79/0.36/0+0.007 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 115 @35.943s 0%: 0.039+0.74+0.031 ms clock, 0.078+0.75/0.37/0+0.063 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 116 @35.961s 0%: 0.028+0.86+0.019 ms clock, 0.057+0.73/0.44/0+0.039 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 117 @35.979s 0%: 0.032+0.74+0.008 ms clock, 0.065+0.67/0.41/0+0.017 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 118 @35.996s 0%: 0.064+0.73+0.017 ms clock, 0.12+0.74/0.36/0+0.034 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 119 @36.014s 0%: 0.017+0.77+0.029 ms clock, 0.034+0.69/0.41/0+0.059 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 120 @36.032s 0%: 0.039+0.97+0.003 ms clock, 0.078+0.39/0.49/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 121 @36.050s 0%: 0.023+0.79+0.004 ms clock, 0.047+0.82/0.35/0+0.008 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
