2026/03/15 10:59:31 no config path specified; using /var/lib/derper/derper.key
2026/03/15 10:59:31 STUN server listening on [::]:3478
2026/03/15 10:59:31 No mesh key configured
2026/03/15 10:59:31 derper: serving on :3340 with TLS
2026/03/15 10:59:35 http: TLS handshake error from 10.20.0.20:56496: unexpected EOF
gc 106 @4.293s 0%: 0.12+0.60+0.16 ms clock, 1.9+0.54/1.0/0+2.7 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 107 @4.294s 0%: 0.15+0.47+0.19 ms clock, 2.5+0.61/0.80/0.062+3.1 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 108 @4.296s 0%: 0.13+0.67+0.077 ms clock, 2.1+0.72/1.3/0+1.2 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 109 @4.298s 0%: 0.12+0.71+0.12 ms clock, 1.9+0.68/0.99/0+1.9 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 110 @4.300s 0%: 0.14+0.81+0.11 ms clock, 2.3+0.62/0.94/0.001+1.7 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 111 @4.302s 0%: 0.12+0.87+0.12 ms clock, 1.9+0.77/1.1/0+1.9 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 112 @4.304s 0%: 0.068+0.60+0.080 ms clock, 1.0+0.50/0.96/0+1.2 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 113 @4.306s 0%: 0.14+0.62+0.17 ms clock, 2.2+0.65/0.88/0.030+2.8 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 114 @4.307s 0%: 0.18+0.65+0.11 ms clock, 3.0+0.63/0.99/0.003+1.8 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 115 @4.310s 0%: 0.12+0.70+0.099 ms clock, 1.9+0.64/1.0/0+1.5 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 116 @4.311s 0%: 0.15+0.62+0.14 ms clock, 2.4+0.68/0.92/0+2.3 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 117 @4.313s 0%: 0.13+0.59+0.11 ms clock, 2.1+0.70/0.94/0+1.9 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 118 @4.315s 0%: 0.10+0.88+0.082 ms clock, 1.7+0.72/1.0/0.046+1.3 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 119 @4.317s 0%: 0.17+0.67+0.16 ms clock, 2.8+0.83/0.97/0+2.6 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 120 @4.319s 0%: 0.11+0.63+0.16 ms clock, 1.7+0.60/1.1/0.070+2.6 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 121 @4.321s 0%: 0.16+0.89+0.092 ms clock, 2.7+0.65/1.0/0+1.4 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 122 @4.323s 0%: 0.15+0.70+0.12 ms clock, 2.4+0.68/0.88/0+2.0 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 123 @4.325s 0%: 0.17+0.56+0.14 ms clock, 2.8+0.56/0.98/0+2.3 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 124 @4.327s 0%: 0.11+0.74+0.21 ms clock, 1.8+0.50/1.0/0.015+3.4 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 125 @4.329s 0%: 0.12+0.72+0.10 ms clock, 2.0+0.77/0.93/0+1.6 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
