2026/03/15 12:56:58 no config path specified; using /var/lib/derper/derper.key
2026/03/15 12:56:58 STUN server listening on [::]:3478
2026/03/15 12:56:58 No mesh key configured
2026/03/15 12:56:58 derper: serving on :3340 with TLS
2026/03/15 12:57:02 http: TLS handshake error from 10.20.0.20:57436: unexpected EOF
gc 112 @4.344s 0%: 0.14+0.51+0.095 ms clock, 1.1+0.83/0.79/0+0.76 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 113 @4.346s 0%: 0.18+0.66+0.11 ms clock, 1.4+0.84/0.86/0+0.90 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 114 @4.349s 0%: 0.17+0.90+0.062 ms clock, 1.4+0.66/0.83/0+0.49 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 115 @4.351s 0%: 0.10+0.83+0.066 ms clock, 0.86+0.77/0.77/0+0.53 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 116 @4.354s 0%: 0.11+0.63+0.071 ms clock, 0.91+0.82/0.78/0+0.57 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 117 @4.357s 0%: 0.071+0.90+0.10 ms clock, 0.57+0.75/0.73/0+0.83 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 118 @4.359s 0%: 0.11+0.61+0.076 ms clock, 0.92+0.84/0.82/0+0.61 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 119 @4.362s 0%: 0.14+0.62+0.11 ms clock, 1.1+0.79/0.72/0+0.90 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 120 @4.364s 0%: 0.10+0.57+0.094 ms clock, 0.80+0.60/0.85/0+0.75 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 121 @4.367s 0%: 0.10+1.2+0.097 ms clock, 0.84+0.84/0.75/0+0.78 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 122 @4.370s 0%: 0.12+0.58+0.10 ms clock, 0.97+0.95/0.68/0+0.82 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 123 @4.372s 0%: 0.10+0.60+0.10 ms clock, 0.86+0.82/0.84/0+0.80 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 124 @4.375s 0%: 0.11+0.98+0.15 ms clock, 0.94+0.67/0.81/0+1.2 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 125 @4.377s 0%: 0.067+0.83+0.10 ms clock, 0.54+0.95/0.77/0+0.81 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 126 @4.380s 0%: 0.10+0.95+0.10 ms clock, 0.81+0.58/0.83/0+0.87 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 127 @4.383s 0%: 0.10+1.0+0.042 ms clock, 0.86+0.62/0.75/0+0.34 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 128 @4.385s 0%: 0.10+0.94+0.058 ms clock, 0.87+0.59/0.86/0+0.46 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 129 @4.388s 0%: 0.12+0.71+0.068 ms clock, 1.0+0.78/0.75/0+0.54 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 130 @4.391s 0%: 0.083+0.65+0.10 ms clock, 0.66+0.71/0.84/0+0.80 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 131 @4.393s 0%: 0.11+0.54+0.10 ms clock, 0.94+0.76/0.68/0+0.87 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 132 @4.396s 0%: 0.11+0.70+0.095 ms clock, 0.91+0.73/0.80/0+0.76 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
