2026/03/17 14:45:18 no config path specified; using /var/lib/derper/derper.key
2026/03/17 14:45:18 STUN server listening on [::]:3478
2026/03/17 14:45:18 No mesh key configured
2026/03/17 14:45:18 derper: serving on :3340 with TLS
2026/03/17 14:45:22 http: TLS handshake error from 10.50.0.2:45054: unexpected EOF
gc 120 @4.767s 0%: 0.086+0.60+0.067 ms clock, 1.7+0.25/0.65/0.012+1.3 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 121 @4.769s 0%: 0.033+0.42+0.071 ms clock, 0.66+0.13/0.71/0+1.4 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 122 @4.770s 0%: 0.078+0.42+0.092 ms clock, 1.5+0.40/0.62/0+1.8 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 123 @4.771s 0%: 0.069+0.36+0.069 ms clock, 1.3+0.23/0.62/0.12+1.3 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 124 @4.772s 0%: 0.061+0.48+0.056 ms clock, 1.2+0.27/0.66/0.007+1.1 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 125 @4.773s 0%: 0.040+0.45+0.096 ms clock, 0.80+0.36/0.57/0.015+1.9 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 126 @4.775s 0%: 0.075+0.56+0.067 ms clock, 1.5+0.22/0.67/0+1.3 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 127 @4.776s 0%: 0.072+0.44+0.033 ms clock, 1.4+0.39/0.52/0.021+0.66 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 128 @4.777s 0%: 0.084+0.60+0.031 ms clock, 1.6+0.40/0.56/0.024+0.62 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 129 @4.779s 0%: 0.054+0.45+0.069 ms clock, 1.0+0.23/0.63/0.041+1.3 ms cpu, 5->6->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
